duration,c_0001,c_0002,v_149,ob_reason,ob_age,ob_realEstate,ob_debt,ob_invest,ob_saving,ob_feelingRisk,ob_investPriority,ob_scenario,check_portfolioId,sim_ethnicity,sim_general,sim_gender,sim_age,sim_language,trust_general,trust_contact,trust_relationship,trust_care,trust_understand,trust_warmth,competence_general,competence_capable,competence_skillful,competence_intelligent,bene_values,bene_honest,bene_respect,li_implement,li_improvements,li_better,lic_amount,sat_happy,sat_right,sat_satisfied,benef_hurt,benef_needs,benef_help,benef_important,benef_welfare,recomm_propensity,loy_choose,loy_best,loy_loyal,lif_portion,learn_learn,learn_improve,learn_skills,att_bestInterest,att_trustworthy,att_ownInterest,att_commissions,fwb_situation,fwb_left,fwb_behind,person_reserved,person_lazy,person_stress,person_artistic,person_sociable,person_fault,person_through,person_nervous,person_imagination,patience154,patience185,patience202,patience210,patience215,patience206,patience193,patience197,patience189,patience169,patience177,patience181,patience173,patience161,patience165,patience158,patience125,patience139,patience146,patience150,patience143,patience132,patience136,patience129,patience112,patience119,patience122,patience116,patience106,patience109,patience103,patience_general,literacy1,literacy2,literacy3,literacy4,literacy5,literacy6,literacy7,check_portfolioType,check_advisorType,dem_gender,dem_ethnicity,dem_usResidence,dem_financialAdvisorUsage,dem_education,income,cond_race,cond_matching,cond,person_trusting
492,0.125,4,6012e262527c380ccb2a6c74,1,28,0,2000,50,100,1,1,2,Preserve Capital,1,1,7,3,5,6,5,1,6,7,3,7,7,7,7,5,7,7,5,6,6,95,6,6,7,7,4,5,5,3,90,7,6,6,10,7,7,7,5,5,7,7,7,1,7,7,5,4,1,1,3,6,5,7,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,2,-77,-77,-77,-77,-77,-77,-77,2,-77,-77,-77,1,1,-77,6,1,1,3,3,2,3,1,1,3,1,5,1,2,5,14000,white,not_matching,"white, not_matching",6
433,0.875,4,5d3695969749cc00165c222f,1,27,0,0,2000,500,3,4,3,2,1,6,7,6,6,6,6,6,7,7,6,6,7,7,7,6,6,6,6,7,6,80,6,7,6,6,6,7,7,6,80,6,6,6,80,6,6,6,4,4,6,6,2,4,2,6,1,4,2,1,1,5,6,6,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,2,-77,-77,-77,-77,-77,-77,-77,2,-77,-77,-77,1,2,-77,6,3,1,3,3,2,2,1,3,1,1,5,1,2,3,22000,white,not_matching,"white, not_matching",7
1244,0.875,3,628e0063fa56e316da2a71cb,1,47,0,35000,100,30,3,4,3,2,2,5,7,3,6,6,4,2,4,4,2,5,6,5,5,3,4,4,5,5,4,25,7,6,6,5,5,1,2,1,75,5,2,2,15,7,7,6,5,5,6,7,3,1,7,7,2,4,6,3,1,5,5,6,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,2,-77,-77,-77,2,-77,1,-77,-77,-77,-77,-77,-77,-77,6,3,1,3,3,2,2,1,3,2,1,5,1,1,3,10700,white,not_matching,"white, not_matching",6
897,0.875,4,5c663cd56fdc87000162e255,1,24,0,0,5000,200,3,4,3,N/A,2,5,7,3,3,6,5,5,4,4,4,5,5,5,6,5,6,7,6,7,5,80,5,6,7,7,4,4,5,4,60,6,5,4,30,7,7,7,5,5,4,5,4,3,2,7,4,5,2,6,1,5,6,6,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,2,-77,-77,-77,2,-77,1,-77,-77,-77,-77,-77,-77,-77,6,3,1,3,3,2,2,1,3,2,1,5,1,2,2,45000,white,not_matching,"white, not_matching",5
464,0.625,4,58d876b14240e50001190090,3,51,900000,500000,50000,3000,3,3,2,2,1,4,7,4,6,4,2,1,2,3,3,6,6,6,6,4,4,5,2,3,2,5,3,4,4,4,4,2,4,4,5,3,2,1,15,4,5,4,4,4,4,5,2,5,2,5,3,1,2,2,4,5,6,5,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,2,-77,-77,-77,-77,-77,-77,-77,1,1,1,-77,-77,-77,-77,5,3,1,3,3,2,2,1,2,3,1,5,1,2,6,140000,white,not_matching,"white, not_matching",2
1515,0.375,2,62d59f882a1a29cea439e113,3,29,0,0,1000,100,1,3,2,2,6,7,2,2,6,6,5,4,6,6,6,7,7,7,7,6,6,6,6,7,7,50,7,7,7,6,6,7,7,7,80,6,6,6,50,7,7,7,7,7,1,6,1,1,1,6,1,1,2,2,3,6,3,6,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,2,-77,-77,-77,-77,-77,-77,-77,1,1,2,-77,-77,-77,-77,6,1,2,3,3,3,1,2,1,1,1,2,1,2,6,2000,black,matching,"black, matching",6
920,0.375,1,5e6b034bffc1a90c3fe8c234,1,23,0,0,5000,500,3,1,2,2,7,4,7,5,5,4,5,3,1,2,1,3,3,3,5,3,2,5,4,2,2,95,1,2,2,1,2,2,2,2,15,1,2,2,1,7,7,7,3,3,6,6,1,5,3,6,2,6,1,5,5,6,1,7,1,1,2,-77,-77,-77,2,-77,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,7,3,1,3,3,4,2,1,2,2,1,2,1,2,3,39000,black,matching,"black, matching",6
520,0.125,1,55b1add5fdf99b6731f04c5a,2,42,650000,23000,5000,1500,1,2,1,2,6,4,1,4,5,5,4,1,4,5,2,6,6,6,5,4,5,6,5,5,5,50,4,4,5,5,5,4,5,4,10,4,4,1,50,4,6,4,4,4,5,5,2,5,3,4,1,4,2,1,6,7,5,7,1,1,1,1,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,4,3,1,3,3,2,1,1,1,2,2,2,1,2,5,48000,black,matching,"black, matching",1
1488,0.375,1,5e2c7806bb1a6e000cf7f2e8,1,44,0,0,500,60,3,1,2,2,7,4,7,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,25,7,7,7,7,7,7,7,7,100,7,7,6,100,7,7,7,6,6,2,4,6,4,1,5,2,6,1,4,7,5,4,7,1,1,2,-77,-77,-77,2,-77,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,5,3,1,3,2,3,3,1,2,1,1,2,1,2,3,22000,black,matching,"black, matching",6
1261,0.75,2,55bd8669fdf99b5bfc7d4cfc,3,28,1000,0,1000,500,3,4,2,2,6,5,7,4,6,5,5,5,5,5,6,7,7,7,7,5,6,6,5,5,5,60,5,5,6,6,5,5,5,5,85,5,6,5,42,6,7,7,5,4,4,5,2,5,4,6,2,5,2,6,2,5,2,6,1,1,1,1,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,6,2,1,3,3,2,2,1,3,1,1,2,1,2,3,23000,black,matching,"black, matching",5
